,GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err_min,E_peak_err_max,T_RT,T_RT_err,mu,mu_err,dL,dL_err,L,L_err,E_iso,E_iso_err,E_gamma,E_gamma_err,E_peak_err,T_lag_i,T_lag_i_err,T_RT_i,T_RT_i_err,V_i,V_i_err,E_peak_i,E_peak_i_err,E_peak_i_err_min,E_peak_i_err_max,_T_lag_i,_T_lag_i_err,_V_i,_V_i_err,_E_peak_i,_E_peak_i_err,_E_peak_i_err_min,_E_peak_i_err_max,_T_RT_i,_T_RT_i_err,log_T_lag_i,log_T_lag_i_err,log_V_i,log_V_i_err,log_E_peak_i,log_E_peak_i_err,log_E_peak_i_err_min,log_E_peak_i_err_max,log_T_RT_i,log_T_RT_i_err,log_L,log_L_err,log_E_iso,log_E_iso_err,log_E_gamma,log_E_gamma_err
95,071010B,0.95,9.2e-07,2.18e-08,8.37e-06,1.16e-07,,,0.84,0.04,0.01,0.003,52.0,8.0,6.0,1.21,0.03,43.663140062422805,0.20246274647917034,1.6197934594396528e+28,1.510255580913441e+27,3.033311232752934e+51,5.7018538041473065e+50,1.415207080163994e+52,2.908702494540733e+50,,,7.0,0.43076923076923074,0.020512820512820513,0.6205128205128205,0.015384615384615384,0.0195,0.00585,101.39999999999999,13.65,15.6,11.7,4.3076923076923075,0.20512820512820512,0.975,0.2925,0.33799999999999997,0.0455,0.052,0.039,6.205128205128205,0.15384615384615383,0.6342446746993636,0.020680689614440563,-0.010995384301463193,0.13028834457097555,-0.4710832997223453,0.058462718717745436,0.06681453567742335,0.05011090175806752,0.7927507589539321,0.010767631782725249,51.481916973361294,0.08163631931408655,52.15081999264648,0.008926138517699335,,
49,051016B,0.94,1.92e-07,1.43e-08,4.31e-07,3.39e-08,,,,,0.008,0.03,24.0,7.0,7.0,,,43.641106005688144,0.2035726139949676,1.6034404289601641e+28,1.5032038080619632e+27,6.203213831517331e+50,1.2514879937193606e+50,7.177795214196653e+50,6.501437403658404e+49,,,7.0,,,,,0.015519999999999999,0.058199999999999995,46.56,13.58,13.58,13.58,,,0.7759999999999999,2.9099999999999997,0.1552,0.04526666666666667,0.04526666666666667,0.04526666666666667,,,,,-0.11013827874181162,1.6286043071371943,-0.8091082830778303,0.12666922388844845,0.12666922388844845,0.12666922388844845,,,50.792616752025424,0.08761818383222555,50.85599106355238,0.03933712657702596,,
101,080319B,0.94,1.55e-05,1.91e-07,0.000525,3.94e-06,,,0.02,0.01,0.031,0.003,651.0,8.0,8.0,0.14,0.01,43.641106005688144,0.2035726139949676,1.6034404289601641e+28,1.5032038080619632e+27,5.007802832735346e+52,9.409751597434627e+51,8.743254031214021e+53,4.8438215318043945e+51,,,8.0,0.010309278350515464,0.005154639175257732,0.07216494845360825,0.005154639175257732,0.06014,0.00582,1262.94,15.52,15.52,15.52,0.10309278350515463,0.05154639175257732,3.0069999999999997,0.291,4.2098,0.05173333333333333,0.05173333333333333,0.05173333333333333,0.7216494845360825,0.05154639175257732,-0.9867717342662449,0.2171472409516259,0.4781334281005175,0.042028498248701786,0.6242614637787556,0.005336952158565306,0.005336952158565306,0.005336952158565306,-0.14167369425198803,0.03102103442166084,52.699647221492164,0.0816047143096885,53.94167309679761,0.002406020636111735,,
90,070714B,0.92,3.24e-06,1.46e-07,8.91e-06,6.77e-07,,,0.03,0.01,0.164,0.021,1120.0,230.0,473.0,0.45,0.04,43.59637718173016,0.20585292744573938,1.5707499872338906e+28,1.4890517684702504e+27,1.0045440923496822e+52,1.9576446251647204e+51,1.43880013227168e+52,1.068667353330684e+51,,,351.5,0.015625,0.005208333333333334,0.23437500000000003,0.020833333333333336,0.31488,0.04032,2150.4,674.88,441.59999999999997,908.16,0.15625,0.052083333333333336,15.744,2.016,7.168,2.2496,1.472,3.0272,2.34375,0.20833333333333334,-0.8061799739838872,0.14476482730108392,1.1971150810872664,0.05561087878029444,0.8553979966540688,0.13629866999017232,0.08918547396227493,0.18341186601806975,0.36991128507179405,0.03860395394695571,52.00196900394529,0.08463483730693673,52.15800046907201,0.03225717902936865,,
29,40924,0.86,2.6e-06,2.8e-07,,,,,0.9,0.01,0.06,0.003,67.0,6.0,6.0,0.33,0.17,43.456551702602795,0.21319546001584905,1.4727938738494542e+28,1.4459910522823878e+27,7.087076979254997e+51,1.5871728568000312e+51,,,,,6.0,0.48387096774193555,0.005376344086021506,0.1774193548387097,0.09139784946236561,0.11159999999999999,0.00558,124.61999999999999,11.16,11.16,11.16,4.838709677419355,0.053763440860215055,5.579999999999999,0.27899999999999997,0.4154,0.037200000000000004,0.037200000000000004,0.037200000000000004,1.7741935483870968,0.913978494623656,0.6847295652214086,0.004825494243369465,0.7466341989375787,0.021714724095162587,-0.3815335078009197,0.03889204315551509,0.03889204315551509,0.03889204315551509,0.24900099565997116,0.22372746037440247,51.850467150058556,0.09726159537317933,,,,
12,210,0.85,2e-05,2.1e-06,,,,,,,0.018,0.002,408.0,14.0,14.0,0.45,0.03,43.4323691115835,0.21449498431031905,1.456483103629056e+28,1.4386934832423437e+27,5.331516545941206e+52,1.1928050289175678e+52,,,,,14.0,,,0.24324324324324323,0.016216216216216214,0.033299999999999996,0.0037,754.8000000000001,25.900000000000002,25.900000000000002,25.900000000000002,,,1.6649999999999998,0.185,2.516,0.08633333333333335,0.08633333333333335,0.08633333333333335,2.432432432432432,0.16216216216216212,,,0.22141423784233863,0.048254942433694645,0.4007106367732313,0.014902261633935113,0.014902261633935113,0.014902261633935113,0.3860407853723298,0.028952965460216785,52.726850761344,0.0971634688894879,,,,
1,970508,0.84,3.3e-06,3.3e-07,8.09e-06,8.1e-07,0.0795,0.0204,0.49,0.02,0.018,0.004,389.0,40.0,40.0,0.65,0.07,43.407920094091004,0.21581686283181467,1.4401762587975163e+28,1.431352849506294e+27,8.601121816469402e+51,1.9138486015883254e+51,1.145966328972949e+52,1.0403949162721267e+51,9.110432315334945e+50,2.4797766438260053e+50,40.0,0.266304347826087,0.010869565217391306,0.3532608695652174,0.038043478260869575,0.03312,0.007359999999999999,715.76,73.6,73.6,73.6,2.6630434782608696,0.10869565217391305,1.6559999999999997,0.36799999999999994,2.385866666666667,0.24533333333333332,0.24533333333333332,0.24533333333333332,3.532608695652174,0.38043478260869573,0.4253782570189772,0.017726305383806196,0.21906033244886125,0.09650988486738929,0.3776461696155818,0.04465753027282794,0.04465753027282794,0.04465753027282794,0.5480955336333191,0.04677017497419635,51.93455509856091,0.09663552087781567,52.059171857285754,0.039428538144059735,50.959538985942224,0.11821099981758718
82,70318,0.84,4.1e-07,2.12e-08,7.34e-06,2.01e-07,,,,,0.037,0.008,154.0,19.0,19.0,0.72,0.24,43.407920094091004,0.21581686283181467,1.4401762587975163e+28,1.431352849506294e+27,1.068624225682562e+51,2.1948464267976514e+50,1.0397271761015384e+52,1.1653353129446794e+50,,,19.0,,,0.391304347826087,0.13043478260869565,0.06807999999999999,0.014719999999999999,283.35999999999996,34.959999999999994,34.959999999999994,34.959999999999994,,,3.4039999999999995,0.7359999999999999,0.9445333333333332,0.11653333333333331,0.11653333333333331,0.11653333333333331,3.9130434782608696,1.3043478260869563,,,0.5319895514125502,0.09390150960070309,-0.024782710873662957,0.05358178672832327,0.05358178672832327,0.05358178672832327,0.592514673421732,0.14476482730108392,51.02882501540275,0.08919970826737024,52.016919395589554,0.004867610538723173,,
8,990705,0.84,6.6e-06,2.6e-07,0.000134,1.5e-05,0.00348,0.00096,,,0.097,0.004,189.0,15.0,15.0,0.62,0.37,43.407920094091004,0.21581686283181467,1.4401762587975163e+28,1.431352849506294e+27,1.7202243632938804e+52,3.485874741008539e+51,1.898139531302536e+53,2.132771214587763e+51,6.605525568932825e+50,1.8237248567739186e+50,15.0,,,0.33695652173913043,0.20108695652173914,0.17848,0.007359999999999999,347.76,27.599999999999998,27.599999999999998,27.599999999999998,,,8.924,0.36799999999999994,1.1592,0.092,0.092,0.092,3.369565217391304,2.010869565217391,,,0.9505595616118001,0.017909050800134094,0.06415837246311817,0.0344678160240676,0.0344678160240676,0.0344678160240676,0.5275738664887174,0.25917573920032766,52.23558509422489,0.08800573907272954,53.27832813403829,0.004879782304633593,50.81990737798487,0.119904712129465
70,60814,0.84,1.83e-06,4.44e-08,4.94e-05,4.91e-07,,,0.29,0.03,0.04,0.003,257.0,35.0,74.0,1.65,0.24,43.407920094091004,0.21581686283181467,1.4401762587975163e+28,1.431352849506294e+27,4.76971300731485e+51,9.551346541891302e+50,6.997618869130244e+52,5.159144950088766e+50,,,54.5,0.15760869565217392,0.016304347826086956,0.8967391304347826,0.13043478260869565,0.0736,0.00552,472.87999999999994,100.27999999999999,64.39999999999999,136.16,1.576086956521739,0.16304347826086954,3.6799999999999997,0.27599999999999997,1.5762666666666665,0.3342666666666666,0.21466666666666664,0.45386666666666664,8.967391304347826,1.3043478260869563,0.1975801748894196,0.0449270153693019,0.5658478186735176,0.03257208614274388,0.1976296916211685,0.09209746795224599,0.05914516290511211,0.1250497729993799,0.9526661212043698,0.0631701064586548,51.67849224841345,0.08696743580856041,52.84495028459713,0.003201929434949446,,
45,50824,0.83,7.92e-08,1.44e-08,7.41e-07,8.81e-08,,,,,0.289,0.64,15.0,5.0,5.0,,,43.383198381607926,0.21716137532252516,1.4238731638785174e+28,1.4239658454678554e+27,2.01779785153025e+50,5.454143749586187e+49,1.031619616923273e+51,2.565600788829459e+49,,,5.0,,,,,0.52887,1.1712,27.450000000000003,9.15,9.15,9.15,,,26.443499999999997,58.56,0.09150000000000001,0.030500000000000003,0.030500000000000003,0.030500000000000003,,,,,1.422318936822996,0.9617594062909384,-1.0385789059335517,0.14476482730108392,0.14476482730108392,0.14476482730108392,,,50.304877655279284,0.11739057667030536,51.01351959193869,0.010800747165688443,,
